Código do fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,VacânciaFísica,QuantidadeAtivos
ABCP11,Shoppings,94.35000000000001,4727.0,0.13,0.6937,0.5843,0.5517,0.5376,0.6937,0.0,0.6937,0.6937,907480454.93,14.87,634.41,1.2,1
AGCX11,Outros,1190.01,231.0,7.5,0.6303,0.6057,0.6483,0.6364,0.6303,0.0,0.6303,0.6303,432406557.06,1067.67,111.46,5.715,41
ALZR11,Outros,98.29,3911.0,0.6555,0.6622,0.688,0.6914,0.6488,7.7861,5.2979,5.9952,3.3298,97109899.76,97.4,100.92,0.0,2
ATSA11,Shoppings,113.99000000000001,0.0,0.1,0.0998,0.1861,0.1251,0.1224,0.0998,0.0,0.0998,0.0998,184938889.7,107.82,105.72,22.3,1
BBFI11B,Lajes Corporativas,2283.9700000000003,205.0,25.7775,1.079,1.1419,1.2206,1.0797,1.079,0.0,1.079,1.079,351154760.28,2701.19,84.55,38.59,2
BBRC11,Outros,136.0,1313.0,0.92,0.6604,0.6841,0.672,0.6354,0.6604,0.0,0.6604,0.6604,161759883.35,101.74,133.68,5.715,20
BCFF11,Títulos e Val. Mob.,84.5,16001.0,0.53,0.6272,0.6614,0.665,0.6372,0.6272,0.0,0.6272,0.6272,504787026.15,84.85,99.59,5.715,0
BCIA11,Títulos e Val. Mob.,107.05,1918.0,0.7,0.6474,0.6627,0.6473,0.6209,0.6474,0.0,0.6474,0.6474,201544075.16,119.28,89.74,5.715,0
BCRI11,Títulos e Val. Mob.,111.0,3930.0,1.0,0.8985,0.967,0.9395,0.8029,0.8985,0.0,0.8985,0.8985,121996758.36,100.82,110.09,5.715,0
BMLC11B,Lajes Corporativas,77.99,348.0,0.4306,0.5521,0.5595,0.5112,0.481,0.5521,0.0,0.5521,0.5521,93080522.97,93.23,83.65,24.0,2
BNFS11,Outros,120.5,91.0,0.7843,0.5897,0.625,0.6746,0.6778,0.5897,0.0,0.5897,0.5897,65316778.34,93.31,129.14,5.715,18
BPFF11,Títulos e Val. Mob.,95.18,2192.0,0.6,0.6206,0.649,0.6575,0.6626,0.6206,0.0,0.6206,0.6206,187305948.32,93.65,101.63,5.715,0
BRCR11,Híbrido,103.75,21436.0,0.41,0.3952,0.3581,0.3591,0.3534,4.2413,-1.472,-1.0826,2.8378,2421011681.31,125.93,82.38,33.2,10
BTCR11,Títulos e Val. Mob.,98.43,0.0,0.697,0.7081,0.0,0.0,0.0,0.7081,0.0,0.7081,0.7081,68289424.64,100.43,98.01,5.715,0
BZLI11,Títulos e Val. Mob.,14.1,45473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6787,0.6787,1.1364,374820453.08,12.2,115.58,5.715,0
CBOP11,Lajes Corporativas,71.99,1296.0,0.47,0.6439,0.6443,0.6622,0.6518,0.6439,0.0,0.6439,0.6439,111285971.74,78.65,91.54,7.0,1
CEOC11,Lajes Corporativas,83.9,2548.0,0.5463,0.6512,0.6808,0.6883,0.6537,0.6512,0.0,0.6512,0.6512,160685343.46,88.5,94.8,0.0,1
