Código do fundo;Setor;Preço Atual;Liquidez Diária;Dividendo;DividendYield;DY (3M)Acumulado;DY (6M)Acumulado;DY (12M)Acumulado;DY (3M)Média;DY (6M)Média;DY (12M)Média;DY Ano;Variação Preço;Rentab.Período;Rentab.Acumulada;PatrimônioLíq.;VPA;P/VPA;DYPatrimonial;VariaçãoPatrimonial;Rentab. Patr.no Período;Rentab. Patr.Acumulada;VacânciaFísica;VacânciaFinanceira;QuantidadeAtivos
ABCP11;Shoppings;R$ 72,95;859.0;65;88;214;492;877;71;82;73;318;-1,47%;-0,60%;2,50%;1121419876,00;9189;79;0,54%;0,11%;0,65%;2,05%;7,50%;0;1
AFHI11;Títulos e Val. Mob.;R$ 98,55;9820.0;135;131;385;764;0;128;127;0;385;0,96%;2,28%;4,80%;1738249464,00;9724;101;1,39%;0,44%;1,83%;3,20%;0;0;0
AFOF11;Títulos e Val. Mob.;R$ 89,22;1511.0;101;107;321;626;0;107;104;0;321;0,92%;2,00%;7,84%;707213559,00;10232;87;0,98%;1,26%;2,25%;5,57%;0;0;0
AIEC11;Lajes Corporativas;R$ 78,99;7451.0;72;9;335;584;1022;112;97;85;413;-3,94%;-3,08%;6,58%;48838614004,00;10122;78;1,29%;-0,70%;0,58%;1,89%;0,00%;0;2
ALMI11;Lajes Corporativas;R$ 950,00;133.0;0;0;0;0;0;0;0;0;0;2,27%;2,27%;-28,29%;24963297343,00;224537;42;0,0%;0;0;0;64,05%;0;1
ALZR11;Logística;R$ 115,14;8554.0;77;67;199;386;718;66;64;6;199;4,88%;5,58%;1,48%;6422981487,00;10846;106;0,71%;-0,05%;0,67%;1,34%;0,00%;0;15
APTO11;Híbrido;R$ 10,28;188.0;12;115;32;0;0;107;0;0;409;0,97%;2,14%;7,25%;3928126736,00;979;105;1,12%;0,30%;1,43%;1,66%;0;0;0
ARCT11;Híbrido;R$ 106,30;18201.0;164;154;441;91;1407;147;152;117;441;-3,23%;-1,74%;1,44%;2884193917,00;1002;106;1,64%;0,23%;1,87%;3,40%;0;0;4
ARRI11;Títulos e Val. Mob.;R$ 95,22;1294.0;128;13;394;859;1568;131;143;131;524;-0,50%;0,79%;3,48%;9866189222,00;9411;101;1,42%;2,12%;3,58%;6,18%;0;0;0
ATSA11;Shoppings;R$ 93,99;10.0;25;18;59;13;297;2;22;25;37;0,74%;0,92%;1,10%;1558858143,00;8902;106;0,0%;0;0;0;21,90%;0;1
BARI11;Títulos e Val. Mob.;R$ 100,00;6416.0;13;127;341;694;1327;114;116;111;446;-0,06%;1,21%;2,08%;47262233679,00;10199;98;1,08%;0,37%;1,45%;3,74%;0;0;0
BBFI11B;Lajes Corporativas;R$ 1.991,51;202.0;2391;116;382;784;1414;127;131;118;487;2,22%;3,40%;-5,38%;37076257682,00;285202;7;1,12%;0,13%;1,25%;2,11%;39,11%;0;2
BBFO11;Títulos e Val. Mob.;R$ 71,39;3143.0;77;105;303;596;1031;101;99;86;414;1,52%;2,58%;5,70%;34315963451,00;8571;83;0,90%;0,28%;1,18%;2,46%;0;0;0
BBGO11;Títulos e Val. Mob.;R$ 84,50;570.0;55;62;0;0;0;0;0;0;165;1,34%;1,97%;3,02%;38965305459,00;9729;87;0,51%;0,23%;0,74%;1,75%;0;0;0
BBIM11;Títulos e Val. Mob.;R$ 0,0;0;25;0;0;0;0;0;0;0;0;0,00%;0,00%;0,00%;5013108862,00;4844;0;0,52%;2,71%;3,24%;4,36%;0;0;0
BBPO11;Lajes Corporativas;R$ 80,90;13568.0;89;104;302;591;1125;101;99;94;397;-3,97%;-2,97%;-5,10%;152631609947,00;9588;84;0,93%;0,02%;0,95%;2,86%;0,00%;0,00%;64
BBRC11;Outros;R$ 96,70;1001.0;94;95;287;563;1035;96;94;86;377;2,65%;3,63%;2,58%;17165423657,00;10796;9;0,87%;0,07%;0,94%;2,88%;5,37%;1,08%;20
BCFF11;Títulos e Val. Mob.;R$ 64,90;33987.0;54;81;24;463;852;8;77;71;315;-2,32%;-1,53%;-3,82%;197123995212,00;7827;83;0,69%;-0,23%;0,46%;1,15%;0;0;0
BCIA11;Títulos e Val. Mob.;R$ 81,66;3268.0;71;83;247;475;899;82;79;75;321;3,95%;4,82%;1,61%;39017285841,00;10491;78;0,68%;0,83%;1,51%;3,27%;0;0;0
BCRI11;Títulos e Val. Mob.;R$ 107,13;7933.0;13;118;349;697;1348;116;116;112;461;0,19%;1,37%;4,03%;66548700329,00;10634;101;1,27%;-0,28%;0,99%;3,26%;0;0;0
BICE11;Títulos e Val. Mob.;R$ 1.000,00;24.0;54;0;0;0;0;0;0;0;0;0,00%;0,00%;0,00%;1025145787,00;9243;108;0,0%;0;0;0;0;0;0
BICR11;Títulos e Val. Mob.;R$ 96,53;7.0;11;112;261;44;697;87;73;58;311;1,24%;2,38%;7,18%;4965343026,00;9931;97;1,11%;-0,22%;0,89%;2,75%;0;0;0
BIME11;Outros;R$ 9,63;9673.0;14;145;391;0;0;13;0;0;495;4,78%;6,30%;4,71%;5566157595,00;952;101;1,26%;0,05%;1,32%;1,69%;0;0;0
BLCA11;Lajes Corporativas;R$ 99,00;4.0;51;51;154;0;0;51;0;0;154;1,03%;1,55%;2,58%;15329204408,00;9581;103;0,53%;-1,68%;-1,16%;-9,51%;0,00%;0;1
BLCP11;Outros;R$ 86,00;1045.0;51;59;184;317;667;61;53;56;184;3,68%;4,29%;9,49%;22587517613,00;9837;87;0,52%;-0,01%;0,51%;1,03%;6,20%;0;2
BLMC11;Outros;R$ 97,11;17.0;115;117;341;68;1115;114;113;93;341;-0,38%;0,79%;3,33%;3921652956,00;9816;99;1,17%;1,29%;2,48%;0,96%;0;0;0
BLMG11;Logística;R$ 80,87;11094.0;8;94;278;554;1123;93;92;94;363;-0,38%;0,56%;-6,38%;37707528533,00;9895;82;0,81%;-1,69%;-0,90%;-0,14%;0,00%;0,00%;4
BLMO11;Lajes Corporativas;R$ 25.000,00;13.0;1751;7;16;0;0;5;0;0;16;-4,21%;-4,14%;-4,08%;11093636078,00;2921685;86;0,06%;0,15%;0,21%;11,50%;0,00%;0;1
